address,name,type,comment
0x0040b0a8,protection_sensor_fault_active_flag,word,set when sensor reading in fault range; gates protection ramp step
0x0040b1e8,protection_coolant_classb_active_flag,word,class-B coolant protection active (enable_byte_34 & 0x40)
0x00408736,protection_ramp_steps_max,word,read-only ROM const; ramp-range base for protection_fault_latch_update
0x0040b230,coolant_bucket_overheat_active_flag,word,set on bucket-count or sustained overtemp; highest-priority protection ramp gate
0x0040b232,cold_start_fuel_demand_ramp_output,word,rate-limited cold-start fuel demand limit feeding protection_fuel_limit_active
0x0040b234,cold_start_rpm_fuel_limit,word,RPM-based cold-start fuel demand limit from table lookup
0x0040b236,cold_start_fuel_demand_integral,word,integral term of cold-start coolant-temp correction
0x0040b238,cold_start_overheat_active_flag,word,gates all cold-start PI correction computation
0x0040b23a,cold_start_fuel_demand_pi_correction,word,sum of cold-start P+I correction clamped 0..0x6400
0x0040b23c,cold_start_fuel_demand_proportional,word,proportional term of cold-start coolant-temp correction
0x0040b23e,cold_start_coolant_temp_setpoint,word,latched coolant-temp threshold at overheat trip
0x0040b254,cold_start_fuel_limit_reason_code,word,diagnostic code 0-9 for which cold-start fuel-limit sub-path ran
0x0040b532,governor_temp_protection_active_flag,word,set when j1939 fuel qty below threshold for N cycles; drives protection_sensor_state_b
0x0040b534,governor_temp_protection_ramp_flag,word,gates protection ramp step; written in sync with b532
0x0040a162,boost_pressure_fuel_working,word,selected boost pressure input for fuel demand (raw or filtered by fault)
0x0040a198,boost_pressure_fuel_mode_state,word,mode 0/1/2 normal/degraded/fault for boost-pressure fuel path
0x0040a19c,fuel_demand_timing_mode_state,word,mode 0/1/2 gating the timing/blend filter
0x0040b57a,protection_output_hold_flag,word,hold protection PID output at previous demand
0x0040b57c,protection_fuel_derate_increment_counter,byte,counts PID cycles toward derate trigger
0x0040b57f,protection_output_controller_phase,word,phase 1/2/3/4 run/recovery/derate/abort
0x0040b583,protection_pid_integrator,word,protection PID integrator clamped +/-0x8000
0x0040b585,protection_pid_step_counter,byte,PID warmup cycle counter
0x0040b586,protection_output_stability_counter,word,counts cycles fuel demand within deadband before PID applies
0x0040b58a,protection_derate_recovery_counter,byte,counts derate-recovery cycles toward phase=2
0x0040b58b,protection_fuel_derate_active_flag,byte,set when fuel temp derate confirmed; gates PID run
0x0040b9c0,fuel_correction_ramp_state,word,state machine for fuel timing correction ramp
0x0040b5a2,protection_throttle_setpoint,word,clamped throttle setpoint for protection phase group A
0x0040b5ce,fuel_demand_uart_mode_flags,byte,fuel-demand UART serial bits bit0 callback bit1 transmit
0x0040b9b6,protection_cssc_oilDelta_state,word,cold-start oil/coolant temp differential monitor state
0x0040aab4,emission_feature_mode_select,byte,med read-only; selects engine-cycle bitmap channel routing
