address,name,type,comment
0x003fccfe,governor_b_fuel_limit_biased,word,abs fuel control limit + offset (governor B)
0x003fcd00,governor_b_timing_error_scaled,dword,fuel-limit-derived timing error contribution
0x003fcd10,governor_b_timing_deviation_normalized,dword,boost-normalized timing deviation ratio
0x003fcd14,governor_b_ema_offset_prev,word,previous-cycle protection_ema_cal_offset
0x003fcd16,governor_b_engine_flag_80_prev,word,previous engine_feature_status_flags&0x80
0x003fcd2a,protection_overtemp_entry_debounce_count,word,overtemp entry debounce accumulator
0x003fcd66,protection_event26_classb_enable_prev,word,prev class-B enable bit (event 26)
0x003fcd6a,protection_event26_fuel_temp_debounce_count,word,fuel-temp event-26 trigger debounce
0x003fcd70,protection_event26_fuel_qty_gate_flag,word,event-26 fuel-qty window hysteresis gate (cond 4)
0x003fcd72,protection_event26_fuel_qty_high_gate_flag,word,event-26 fuel-qty window-2 gate (cond 5)
0x003fcd74,protection_event26_rpm_low_gate_flag,word,event-26 RPM low-side gate (cond 6)
0x003fcd76,protection_event26_rpm_high_gate_flag,word,event-26 RPM high-side gate (cond 7)
0x003fcd78,protection_event26_coolant_gate_flag,word,event-26 coolant window gate (cond 8)
0x003fcd80,fuel_temp_protection_warmup_cycle_count,dword,post-startup fuel-temp inhibit dwell counter
0x003fcd94,governor_speed_request_raw_sample,word,current-cycle raw J1939 governor state input
0x003fcda4,governor_speed_request_raw_prev,word,previous-cycle raw governor state sample
0x003fcda6,cruise_rpm_ratio_ema_prev,word,previous cruise RPM ratio EMA
0x003fcda8,cruise_protection_ok_prev,word,previous cruise_protection_ok (edge detect)
0x003fcdac,cruise_rpm_prev_sample,word,previous-cycle RPM for cruise ratio smoothing
0x003fcdcc,cold_start_coolant_overheat_event_count,word,coolant bucket overheat event count
0x003fce1e,tpu_rpm_isb_setup_done_flag,byte,one-time ISB TPU-B CH9 setup-done flag
0x003fce1f,tpu_rpm_isb_was_active_flag,byte,ISB-active-last-cycle flag for mode switch
0x003fce20,tpu_rpm_startup_blank_countdown,word,startup RPM blanking countdown
0x003fce2c,fuel_quantity_demand_excess_fault_count,word,excess fuel-demand fault debounce (event 0x36)
0x003fce3b,iat_protection_state_prev,word,previous battery_voltage_protection_state
0x003fce3d,iat_solenoid_active_cycle_count,word,IAT solenoid active cycle counter
0x003fce47,iat_protection_action_onset_countdown,word,IAT protection action onset countdown
0x003fce4f,iat_protection_crank_standby_cycle_count,word,IAT protection crank/standby cycle count
0x003fce64,iat_solenoid_active_duration_ticks,word,IAT solenoid PWM active-pulse duration
0x003fcea0,j1939_dm1_fault_list_index,byte,DM1 fault list transmit index
0x003fce66,iat_protection_oilTemp_derate_input,word,selected oil-temp input for IAT derate level
0x003fce6a,iat_solenoid_derate_active_flag,word,IAT solenoid derate active gate
0x003fce61,iat_solenoid_duty_percent,word,IAT solenoid duty percent (lookup output)
0x003fce63,iat_solenoid_update_pending_flag,byte,IAT solenoid level-update pending flag
0x003fcede,governor_cruise_crank_period_snapshot,dword,prev crank-period total for delta
0x003fcee2,governor_cruise_period_accum,dword,scaled engine operating time accumulator
0x003fcee6,j1939_load_protection_fault_reported_flag,word,J1939 load-protection fault dedup latch
0x003fceee,protection_coldStart_channelB_fault_reported_flag,word,cold-start channelB fault reported latch
0x003fcef2,protection_coldStart_channelA_window_active_flag,byte,cold-start channelA trip window open
0x003fcef3,protection_coldStart_channelB_window_active_flag,byte,cold-start channelB trip window open
0x003fcef4,fuel_temp_derate_cycles_gate_flag,word,fuel-temp derate cycles-threshold gate
0x003fcefa,fuel_temp_derate_entry_threshold_flag,word,fuel-temp derate entry-threshold latch
0x003fcefe,protection_pid_rpm_setpoint_prev,word,previous-cycle protection PID rpm setpoint
0x003fcf04,protection_fuel_demand_tick_snapshot,word,current fuel demand snapshot (feeds prev next tick)
0x003fcf06,protection_action_mode_b2_snapshot,word,prev protection_action_mode bit1 (change detect)
0x003fe9ea,protection_derate_status_shadow_flags,word,shadow of reserved_12 in diag shadow block
0x003fea4e,protection_derate_status_snapshot,word,snapshot of reserved_12 derate bits (edge detect)
0x003fea6c,protection_coldStart_fault_enable_bits,word,cold-start protection fault permission bits
0x003fcf1b,fuel_demand_serial_last_sa,byte,last SA for serial fuel-demand continuity
0x003fcf1c,fuel_demand_serial_last_seq,byte,last sequence byte for serial continuity
0x003fcf1e,fuel_demand_serial_last_data_ptr,dword,last data pointer for serial continuity
0x003fcf22,fuel_demand_serial_cached_word,word,cached 2-byte serial fuel-demand value
0x003fcf3d,cold_start_protection_phase_toggle,byte,phase toggle every 0x8C crank events
