internal_name,parameter,description
6,RE_Trans_Enable,Bit 3 of Algorithm_Enables_Flags[6] enables feature
6,T_Turbo_Speed_Estimation_Enable,Bit 1 of Algorithm_Enables_Flags[6] enables feature
AAPRSNST,Ambient_Air_Pressure_Sensor_Present,[AAPRSNST] enable flag that indicates presence of an ambient air pressure sensor
AATBPEN,Alpha_Turbo_Protection_Enable,[AATBPEN] Bit F Word 0. Enable bit for the Alpha Ambient Air Pressure Turbo Protection.
ACCNOISE,Group_Accel_Noise_Control,[ACCNOISE] Acceleration Noise Control Group
ACC_INT2,Group_ACCELERATOR_INTERLOCK2,[ACC_INT2] Accelerator Interlock Parameters
ACEN,AC_Smart_Enable,"[ACEN] Word 12h, bit 6 of 0 to 15 - Smart Air Compressor Enable"
ACKFAULT,Software_ACKFAULT,[ACKFAULT] ACKNOWLEDGE FAULT
ADAAPRCC,Ambient_Air_Pressure_Fault_Clear,[ADAAPRCC] Ambient_Air_Pressure_Fault_Count when error cleared
ADAAPRCS,Ambient_Air_Pressure_Filter_Constant,[ADAAPRCS] Ambient_Air_Pressure AD Filter Constant
ADAAPRDT,Ambient_Air_Pressure_Fault_Decrement,[ADAAPRDT] Ambient_Air_Pressure decrement value for setting error
ADAAPRHE,Ambient_Air_Pressure_High_Error,[ADAAPRHE] Ambient_Air_Pressure High Error Indication
ADAAPRHL,Ambient_Air_Pressure_High_Limit,[ADAAPRHL] Ambient_Air_Pressure high limit for the raw value
ADAAPRIC,Ambient_Air_Pressure_Fault_Increment,[ADAAPRIC] Ambient_Air_Pressure increment value for setting error
ADAAPRLE,Ambient_Air_Pressure_Low_Error,[ADAAPRLE] Ambient_Air_Pressure Low Error Indication
ADAAPRLL,Ambient_Air_Pressure_Low_Limit,[ADAAPRLL] Ambient_Air_Pressure low limit for the raw value
ADAAPROD,Ambient_Air_Pressure_Override,[ADAAPROD] Filtered value override bit for the Ambient_Air_Pressure sensor.
ADAAPRSE,Ambient_Air_Pressure_Fault_Set,[ADAAPRSE] Ambient_Air_Pressure_Fault_Count when error set
ADAAPRXA,Ambient_Air_Pressure_X_Axis,[ADAAPRXA] Ambient_Air_Pressure AD Breakpoint Table
ADAAPRYA,Ambient_Air_Pressure_Y_Axis,[ADAAPRYA] Ambient_Air_Pressure Lookup Output Table
ADAAPZ,Ambient_Air_Pressure_Priority,[ADAAPZ] Ambient_Air_Pressure mux override priority
ADAARWOD,Ambient_Air_Pressure_Raw_Override,[ADAARWOD] Enable bit for the Ambient_Air_Pressure sensor.
ADAARWPZ,Ambient_Air_Pressure_Raw_Priority,[ADAARWPZ] Ambient_Air_Pressure current raw override priority
ADAARWUV,Ambient_Air_Pressure_Raw_User_Value,[ADAARWUV] Ambient_Air_Pressure raw override user value
ADBSPRCC,Boost_Pressure_Fault_Clear,[ADBSPRCC] Boost_Pressure_Fault_Count when error cleared
ADBSPRCS,Boost_Pressure_Filter_Constant,[ADBSPRCS] Boost_Pressure AD Filter Constant
ADBSPRDT,Boost_Pressure_Fault_Decrement,[ADBSPRDT] Boost_Pressure decrement value for setting error
ADBSPRHE,Boost_Pressure_High_Error,[ADBSPRHE] Boost_Pressure High Error Indication
ADBSPRHL,Boost_Pressure_High_Limit,[ADBSPRHL] Boost_Pressure high limit for the raw value
ADBSPRIC,Boost_Pressure_Fault_Increment,[ADBSPRIC] Boost_Pressure increment value for setting error
ADBSPRLE,Boost_Pressure_Low_Error,[ADBSPRLE] Boost_Pressure High Error Indication
ADBSPRLL,Boost_Pressure_Low_Limit,[ADBSPRLL] Boost_Pressure low limit for the raw value
ADBSPROD,Boost_Pressure_Override,[ADBSPROD] Filtered value override bit for the Boost_Pressure sensor.
ADBSPRSE,Boost_Pressure_Fault_Set,[ADBSPRSE] Boost_Pressure_Fault_Count when error set
ADBSPRXA,Boost_Pressure_X_Axis,[ADBSPRXA] Boost_Pressure AD Breakpoint Table
ADBSPRYA,Boost_Pressure_Y_Axis,[ADBSPRYA] Boost_Pressure Lookup Output Table
ADBSPZ,Boost_Pressure_Priority,[ADBSPZ] Boost_Pressure mux override priority
ADBSRWOD,Boost_Pressure_Raw_Override,[ADBSRWOD] Enable bit for the Boost_Pressure sensor.
ADBSRWPZ,Boost_Pressure_Raw_Priority,[ADBSRWPZ] Boost_Pressure current raw override priority
ADBSRWUV,Boost_Pressure_Raw_User_Value,[ADBSRWUV] Boost_Pressure raw override user value
ADBTPZ,Battery_Voltage_Priority,[ADBTPZ] Battery_Voltage mux override priority
ADBTRWOD,Battery_Voltage_Raw_Override,[ADBTRWOD] Enable bit for the Battery_Voltage sensor.
ADBTRWPZ,Battery_Voltage_Raw_Priority,[ADBTRWPZ] Battery_Voltage current raw override priority
ADBTRWUV,Battery_Voltage_Raw_User_Value,[ADBTRWUV] Battery_Voltage raw override user value
ADBTVTCC,Battery_Voltage_Fault_Clear,[ADBTVTCC] Battery_Voltage_Fault_Count when error cleared
ADBTVTCS,Battery_Voltage_Filter_Constant,[ADBTVTCS] Battery_Voltage AD Filter Constant
ADBTVTDT,Battery_Voltage_Fault_Decrement,[ADBTVTDT] Battery_Voltage decrement value for setting error
ADBTVTHE,Battery_Voltage_High_Error,[ADBTVTHE] Battery_Voltage High Error Indication
ADBTVTHL,Battery_Voltage_High_Limit,[ADBTVTHL] Battery_Voltage high limit for the raw value
ADBTVTIC,Battery_Voltage_Fault_Increment,[ADBTVTIC] Battery_Voltage increment value for setting error
ADBTVTLE,Battery_Voltage_Low_Error,[ADBTVTLE] Battery_Voltage High Error Indication
ADBTVTLL,Battery_Voltage_Low_Limit,[ADBTVTLL] Battery_Voltage low limit for the raw value
ADBTVTOD,Battery_Voltage_Override,[ADBTVTOD] Filtered value override bit for the Battery_Voltage sensor.
ADBTVTSE,Battery_Voltage_Fault_Set,[ADBTVTSE] Battery_Voltage_Fault_Count when error set
ADBTVTXA,Battery_Voltage_X_Axis,[ADBTVTXA] Battery_Voltage AD Breakpoint Table
ADBTVTYA,Battery_Voltage_Y_Axis,[ADBTVTYA] Battery_Voltage Lookup Output Table
ADCLPZ,Coolant_Temperature_Priority,[ADCLPZ] Coolant_Temperature mux override priority
ADCLRWPZ,Coolant_Temperature_Raw_Priority,[ADCLRWPZ] Coolant_Temperature current raw override priority
ADCLTPCC,Coolant_Temperature_Fault_Clear,[ADCLTPCC] Coolant_Temperature_Fault_Count when error cleared
ADCLTPCS,Coolant_Temperature_Filter_Constant,[ADCLTPCS] Coolant_Temperature AD Filter Constant
ADCLTPDT,Coolant_Temperature_Fault_Decrement,[ADCLTPDT] Coolant_Temperature decrement value for setting error
ADCLTPHE,Coolant_Temperature_High_Error,[ADCLTPHE] Coolant_Temperature High Error Indication
ADCLTPHL,Coolant_Temperature_High_Limit,[ADCLTPHL] Coolant_Temperature high limit for the raw value
ADCLTPIC,Coolant_Temperature_Fault_Increment,[ADCLTPIC] Coolant_Temperature increment value for setting error
ADCLTPLE,Coolant_Temperature_Low_Error,[ADCLTPLE] Coolant_Temperature High Error Indication
ADCLTPLL,Coolant_Temperature_Low_Limit,[ADCLTPLL] Coolant_Temperature low limit for the raw value
ADCLTPOD,Coolant_Temperature_Override,[ADCLTPOD] Filtered value override bit for the Coolant_Temperature sensor.
ADCLTPSE,Coolant_Temperature_Fault_Set,[ADCLTPSE] Coolant_Temperature_Fault_Count when error set
ADCLTPXA,Coolant_Temperature_X_Axis,[ADCLTPXA] Coolant_Temperature AD Breakpoint Table
ADCLTPYA,Coolant_Temperature_Y_Axis,[ADCLTPYA] Coolant_Temperature Lookup Output Table
ADCQRWOD,Coolant_Temperature_Raw_Override,[ADCQRWOD] Enable bit for the Coolant_Temperature sensor.
ADCQRWUV,Coolant_Temperature_Raw_User_Value,[ADCQRWUV] Coolant_Temperature raw override user value
ADDFAAPR,Ambient_Air_Pressure_Global_Default,[ADDFAAPR] Ambient_Air_Pressure AD global default value
ADDFBSPR,Boost_Pressure_Global_Default,[ADDFBSPR] Boost_Pressure AD global default value
ADDFBTVT,Battery_Voltage_Global_Default,[ADDFBTVT] Battery_Voltage AD global default value
ADDFCLTP,Coolant_Temperature_Global_Default,[ADDFCLTP] Coolant_Temperature AD global default value
ADDFEBLV,EB_Switch_Level_Global_Default,[ADDFEBLV] Global default for Engine Brake
ADDFFLTP,Fuel_Temperature_Global_Default,[ADDFFLTP] Fuel_Temperature AD global default value
ADDFIMTP,Intake_Manifold_Temperature_Global_Default,[ADDFIMTP] Intake_Manifold_Temperature AD global default value
ADDFMNFM,Manual_Fan_Level_Global_Default,[ADDFMNFM] Global Default for Manual Fan Level (Requested % fan Speed)
ADDFOLPR,Oil_Pressure_Global_Default,[ADDFOLPR] Oil_Pressure AD global default value
ADDFROTH,Remote_Throttle_Global_Default,[ADDFROTH] Remote_Throttle AD global default value
ADDFSATH,Sampled_Throttle_Global_Default,[ADDFSATH] Sampled_Throttle AD global default value
ADEBLVOD,EB_Switch_Level_Override,[ADEBLVOD] A/D override for Engine Brake switch level.
ADEBLVPZ,EB_Switch_Level_Priority,[ADEBLVPZ] Priority of client which is currently overriding Engine Brake switch level.
ADFLPZ,Fuel_Temperature_Priority,[ADFLPZ] Fuel_Temperature mux override priority
ADFLRWPZ,Fuel_Temperature_Raw_Priority,[ADFLRWPZ] Fuel_Temperature current raw override priority
ADFLTPCC,Fuel_Temperature_Fault_Clear,[ADFLTPCC] Fuel_Temperature_Fault_Count when error cleared
ADFLTPCS,Fuel_Temperature_Filter_Constant,[ADFLTPCS] Fuel_Temperature AD Filter Constant
ADFLTPDT,Fuel_Temperature_Fault_Decrement,[ADFLTPDT] Fuel_Temperature decrement value for setting error
ADFLTPHE,Fuel_Temperature_High_Error,[ADFLTPHE] Fuel_Temperature High Error Indication
ADFLTPHL,Fuel_Temperature_High_Limit,[ADFLTPHL] Fuel_Temperature high limit for the raw value
ADFLTPIC,Fuel_Temperature_Fault_Increment,[ADFLTPIC] Fuel_Temperature increment value for setting error
ADFLTPLE,Fuel_Temperature_Low_Error,[ADFLTPLE] Fuel_Temperature Low Error Indication
ADFLTPLL,Fuel_Temperature_Low_Limit,[ADFLTPLL] Fuel_Temperature low limit for the raw value
ADFLTPOD,Fuel_Temperature_Override,[ADFLTPOD] Filtered value override bit for the Fuel_Temperature sensor.
ADFLTPSE,Fuel_Temperature_Fault_Set,[ADFLTPSE] Fuel_Temperature_Fault_Count when error set
ADFLTPXA,Fuel_Temperature_X_Axis,[ADFLTPXA] Fuel_Temperature AD Breakpoint Table
ADFLTPYA,Fuel_Temperature_Y_Axis,[ADFLTPYA] Fuel_Temperature Lookup Output Table
ADFTAAPR,Ambient_Air_Pressure,[ADFTAAPR] Ambient_Air_Pressure raw value linearized and filtered
ADFTBSPR,Boost_Pressure,[ADFTBSPR] Boost_Pressure raw value linearized and filtered
ADFTBTVT,Battery_Voltage,[ADFTBTVT] Battery_Voltage raw value linearized and filtered
ADFTCLTP,Coolant_Temperature,[ADFTCLTP] Coolant_Temperature raw value linearized and filtered
ADFTFLTP,Fuel_Temperature,[ADFTFLTP] Fuel_Temperature raw value linearized and filtered
ADFTIMTP,Intake_Manifold_Temperature,[ADFTIMTP] Intake_Manifold_Temperature raw value linearized and filtered
ADFTOLPR,Oil_Pressure,[ADFTOLPR] Oil_Pressure raw value linearized and filtered
ADFTROTH,Remote_Throttle,[ADFTROTH] Remote_Throttle raw value linearized and filtered
ADFTRWOD,Fuel_Temperature_Raw_Override,[ADFTRWOD] Enable bit for the Fuel_Temperature sensor.
ADFTRWUV,Fuel_Temperature_Raw_User_Value,[ADFTRWUV] Fuel_Temperature raw override user value
ADFTSATH,Sampled_Throttle,[ADFTSATH] Sampled_Throttle raw value linearized and filtered
ADICDTER,Increment_Decrement_Switch_Error,"[ADICDTER] Bit 9, Error indicating an increment decrement switch problem"
ADIMPZ,Intake_Manifold_Temperature_Priority,[ADIMPZ] Intake_Manifold_Temperature mux override priority
ADIMRWOD,Intake_Manifold_Temperature_Raw_Override,[ADIMRWOD] Enable bit for the Intake_Manifold_Temperature sensor.
ADIMRWPZ,Intake_Manifold_Temperature_Raw_Priority,[ADIMRWPZ] Intake_Manifold_Temperature current raw override priority
ADIMRWUV,Intake_Manifold_Temperature_Raw_User_Value,[ADIMRWUV] Intake_Manifold_Temperature raw override user value
ADIMTPCC,Intake_Manifold_Temperature_Fault_Clear,[ADIMTPCC] Intake_Manifold_Temperature_Fault_Count when error cleared
ADIMTPCS,Intake_Manifold_Temperature_Filter_Constant,[ADIMTPCS] Intake_Manifold_Temperature AD Filter Constant
ADIMTPDT,Intake_Manifold_Temperature_Fault_Decrement,[ADIMTPDT] Intake_Manifold_Temperature decrement value for setting error
ADIMTPHE,Intake_Manifold_Temperature_High_Error,[ADIMTPHE] Intake_Manifold_Temperature High Error Indication
ADIMTPHL,Intake_Manifold_Temperature_High_Limit,[ADIMTPHL] Intake_Manifold_Temperature high limit for the raw value
ADIMTPIC,Intake_Manifold_Temperature_Fault_Increment,[ADIMTPIC] Intake_Manifold_Temperature increment value for setting error
ADIMTPLE,Intake_Manifold_Temperature_Low_Error,[ADIMTPLE] Intake_Manifold_Temperature Low Error Indication
ADIMTPLL,Intake_Manifold_Temperature_Low_Limit,[ADIMTPLL] Intake_Manifold_Temperature low limit for the raw value
ADIMTPOD,Intake_Manifold_Temperature_Override,[ADIMTPOD] Filtered value override bit for the Intake_Manifold_Temperature sensor.
ADIMTPSE,Intake_Manifold_Temperature_Fault_Set,[ADIMTPSE] Intake_Manifold_Temperature_Fault_Count when error set
ADIMTPXA,Intake_Manifold_Temperature_X_Axis,[ADIMTPXA] Intake_Manifold_Temperature AD Breakpoint Table
ADIMTPYA,Intake_Manifold_Temperature_Y_Axis,[ADIMTPYA] Intake_Manifold_Temperature Lookup Output Table
ADMNFMOD,Manual_Fan_Level_Override,[ADMNFMOD] A/D Override for Manual Fan Level (Requested % fan Speed)
ADMNFMPZ,Manual_Fan_Level_Priority,[ADMNFMPZ] A/D Priority for Manual Fan Level (Requested % fan Speed)
ADOLPRCC,Oil_Pressure_Fault_Clear,[ADOLPRCC] Oil_Pressure_Fault_Count when error cleared
ADOLPRCS,Oil_Pressure_Filter_Constant,[ADOLPRCS] Oil_Pressure AD Filter Constant
ADOLPRDT,Oil_Pressure_Fault_Decrement,[ADOLPRDT] Oil_Pressure decrement value for setting error
ADOLPRHE,Oil_Pressure_High_Error,[ADOLPRHE] Oil_Pressure High Error Indication
ADOLPRHL,Oil_Pressure_High_Limit,[ADOLPRHL] Oil_Pressure high limit for the raw value
ADOLPRIC,Oil_Pressure_Fault_Increment,[ADOLPRIC] Oil_Pressure increment value for setting error
ADOLPRLE,Oil_Pressure_Low_Error,[ADOLPRLE] Oil_Pressure Low Error Indication
ADOLPRLL,Oil_Pressure_Low_Limit,[ADOLPRLL] Oil_Pressure low limit for the raw value
ADOLPROD,Oil_Pressure_Override,[ADOLPROD] Filtered value override bit for the Oil_Pressure sensor.
ADOLPRSE,Oil_Pressure_Fault_Set,[ADOLPRSE] Oil_Pressure_Fault_Count when error set
ADOLPRXA,Oil_Pressure_X_Axis,[ADOLPRXA] Oil_Pressure AD Breakpoint Table
ADOLPRYA,Oil_Pressure_Y_Axis,[ADOLPRYA] Oil_Pressure Lookup Output Table
ADOPPZ,Oil_Pressure_Priority,[ADOPPZ] Oil_Pressure mux override priority
ADOPRWOD,Oil_Pressure_Raw_Override,[ADOPRWOD] Enable bit for the Oil_Pressure sensor.
ADOPRWPZ,Oil_Pressure_Raw_Priority,[ADOPRWPZ] Oil_Pressure current raw override priority
ADOPRWUV,Oil_Pressure_Raw_User_Value,[ADOPRWUV] Oil_Pressure raw override user value
ADROTHCC,Remote_Throttle_Fault_Clear,[ADROTHCC] Remote_Throttle_Fault_Count when error cleared
ADROTHCS,Remote_Throttle_Filter_Constant,[ADROTHCS] Remote_Throttle AD Filter Constant
ADROTHDT,Remote_Throttle_Fault_Decrement,[ADROTHDT] Remote_Throttle decrement value for setting error
ADROTHHE,Remote_Throttle_High_Error,[ADROTHHE] Remote_Throttle High Error Indication
ADROTHHL,Remote_Throttle_High_Limit,[ADROTHHL] Remote_Throttle high limit for the raw value
ADROTHIC,Remote_Throttle_Fault_Increment,[ADROTHIC] Remote_Throttle increment value for setting error
ADROTHLE,Remote_Throttle_Low_Error,[ADROTHLE] Remote_Throttle High Error Indication
ADROTHLL,Remote_Throttle_Low_Limit,[ADROTHLL] Remote_Throttle low limit for the raw value
ADROTHOD,Remote_Throttle_Override,[ADROTHOD] Filtered value override bit for the Remote_Throttle sensor.
ADROTHSE,Remote_Throttle_Fault_Set,[ADROTHSE] Remote_Throttle_Fault_Count when error set
ADROTHXA,Remote_Throttle_X_Axis,[ADROTHXA] Remote_Throttle AD Breakpoint Table
ADROTHYA,Remote_Throttle_Y_Axis,[ADROTHYA] Remote_Throttle Lookup Output Table
ADRTHE,RT_High_Error,[ADRTHE] Remote Throttle System Errors
ADRTLE,RT_Low_Error,[ADRTLE] Remote Throttle System Errors
ADRTPZ,Remote_Throttle_Priority,[ADRTPZ] Remote_Throttle mux override priority
ADRTRWOD,Remote_Throttle_Raw_Override,[ADRTRWOD] Enable bit for the Remote_Throttle sensor.
ADRTRWPZ,Remote_Throttle_Raw_Priority,[ADRTRWPZ] Remote_Throttle current raw override priority
ADRTRWUV,Remote_Throttle_Raw_User_Value,[ADRTRWUV] Remote_Throttle raw override user value
ADRWAAPR,Ambient_Air_Pressure_Raw,[ADRWAAPR] Ambient_Air_Pressure sampled raw value
ADRWBSPR,Boost_Pressure_Raw,[ADRWBSPR] Boost_Pressure sampled raw value
ADRWBTVT,Battery_Voltage_Raw,[ADRWBTVT] Battery_Voltage sampled raw value
ADRWCLTP,Coolant_Temperature_Raw,[ADRWCLTP] Coolant_Temperature sampled raw value
ADRWFLTP,Fuel_Temperature_Raw,[ADRWFLTP] Fuel_Temperature sampled raw value
ADRWIMTP,Intake_Manifold_Temperature_Raw,[ADRWIMTP] Intake_Manifold_Temperature sampled raw value
ADRWOLPR,Oil_Pressure_Raw,[ADRWOLPR] Oil_Pressure sampled raw value
ADRWROTH,Remote_Throttle_Raw,[ADRWROTH] Remote_Throttle sampled raw value
ADRWSATH,Sampled_Throttle_Raw,[ADRWSATH] Sampled_Throttle sampled raw value
ADSATHCC,Sampled_Throttle_Fault_Clear,[ADSATHCC] Sampled_Throttle_Fault_Count when error cleared
ADSATHCS,Sampled_Throttle_Filter_Constant,[ADSATHCS] Sampled_Throttle AD Filter Constant
ADSATHDT,Sampled_Throttle_Fault_Decrement,[ADSATHDT] Sampled_Throttle decrement value for setting error
ADSATHHE,Sampled_Throttle_High_Error,[ADSATHHE] Sampled_Throttle High Error Indication
ADSATHHL,Sampled_Throttle_High_Limit,[ADSATHHL] Sampled_Throttle high limit for the raw value
ADSATHIC,Sampled_Throttle_Fault_Increment,[ADSATHIC] Sampled_Throttle increment value for setting error
ADSATHLE,Sampled_Throttle_Low_Error,[ADSATHLE] Sampled_Throttle Low Error Indication
ADSATHLL,Sampled_Throttle_Low_Limit,[ADSATHLL] Sampled_Throttle low limit for the raw value
