feature_name,category,j90280.05,j90350.00,cm848d_s90140,j90270.06,j90831.05,notes
vp44_can_communication,fuel_system,present,present,not_applicable,unknown,unknown,Core VP44 injection pump CAN control - CM848D uses common rail
vp44_diagnostic_state_machine,fuel_system,present,not_found,not_applicable,unknown,unknown,VP44 diagnostic mode handling - CM848D has no VP44
vp44_timing_validation,fuel_system,present,not_found,not_applicable,unknown,unknown,VP44 timing range validation functions
common_rail_cbd,fuel_system,not_applicable,not_applicable,present,unknown,unknown,Cylinder Balance Deviation - per-cylinder fuel trim (common rail only)
common_rail_injector_control,fuel_system,not_applicable,not_applicable,present,unknown,unknown,Direct injector pulse width calculation
auth_security,security,stub,present,present,unknown,unknown,J90280 returns 0 (disabled) - J90350 and CM848D have full implementation
kickdown_signal,transmission,present,not_found,unknown,unknown,unknown,Automatic transmission kickdown interface
retarder_control,drivetrain,present,not_found,unknown,unknown,unknown,Engine brake/retarder percentage control
derate_system,protection,present,present,present,unknown,unknown,Engine power derate for protection
boost_pressure_control,protection,present,not_found,present,unknown,unknown,Boost pressure feedback controller - present in CM848D phase_group_a
engine_protection,protection,present,present,present,unknown,unknown,Core engine protection systems
diagnostic_state_machine,diagnostics,present,present,present,unknown,unknown,Fault code processing state machine
insite_communication,diagnostics,present,present,present,unknown,unknown,Insite diagnostic tool protocol (UDS in CM848D)
fuel_temp_limiting,fuel_system,present,not_found,present,unknown,unknown,Fuel temperature protection - processThermalProtection in CM848D
intake_temp_tables,protection,present,not_found,present,unknown,unknown,Intake manifold temperature limit tables
sensor_fault_debounce,diagnostics,present,not_found,present,unknown,unknown,Sensor fault debounce - processSensorFaultDetection in CM848D
timer_scheduler,io_control,present,not_found,present,unknown,unknown,40-phase scheduler - identical architecture in CM848D
io_control_system,io_control,present,not_found,present,unknown,unknown,IO control - phase_common_processing in CM848D
flash_bootloader,security,present,not_found,unknown,unknown,unknown,Flash memory programming support
wait_to_start_lamp,io_control,present,not_found,unknown,unknown,unknown,Glow plug indicator blink pattern
lift_pump_status,fuel_system,present,not_found,not_applicable,unknown,unknown,Lift pump communication - not needed for common rail
engine_serial_builder,diagnostics,present,not_found,present,unknown,unknown,Engine serial number data builder
ambient_conditions,diagnostics,present,not_found,present,unknown,unknown,Ambient conditions data builder for diagnostics
j1939_periodic_messages,communication,present,present,present,unknown,unknown,J1939 CAN message handling - processJ1939PeriodicMessages in CM848D
governor_speed_control,fuel_system,present,present,present,unknown,unknown,Engine speed governor - periodicTaskGroup1 in CM848D
cold_start_fuel,fuel_system,present,present,present,unknown,unknown,Cold start fuel enrichment - processColdStartStateMachine in CM848D
turbo_ratio_calculation,protection,present,present,present,unknown,unknown,Turbo boost ratio - calculateTurboRatios in CM848D
calibration_task_groups,scheduler,not_applicable,not_applicable,present,unknown,unknown,27 dedicated calibration groups (12-38) - CM848D architecture
