address,name,type,comment
0x00408f46,protection_cylinder_event_factor,word,ROM x cylinder_event_count_max -> protection countdown
0x00408f48,protection_shutdown_cycle_limit,byte,ROM cap on protection shutdown cycle count
0x00408f49,protection_debounce_event_factor,word,ROM x cylinder_event_count_max -> protection debounce
0x0040b78c,injection_timing_demand_working,word,rate-limited injection timing demand (reset 0xc800)
0x0040b830,injection_timing_aux_offset,word,aux timing offset (torque snapshot - aux output)
0x0040b838,injection_timing_aux_boost_blend,word,boost-map-blended aux injection timing
0x0040b848,injection_timing_aux_coolant_factor,word,coolant-temp table factor for aux timing clamp
0x0040b84a,injection_timing_aux_rpm_factor,word,RPM table factor for aux timing clamp
0x0040b84c,injection_timing_aux_combined_clamp,word,(rpm x coolant)/0x1000 clamp on aux timing output
0x0040b84e,injection_timing_aux_oil_factor_a,word,RPM table factor A for aux oil-pressure timing
0x0040b850,injection_timing_aux_oil_factor_b,word,RPM table factor B for aux oil-pressure timing
0x004090a0,tpu_ch3_param_period_ref,word,ROM; TPUA CH3 PARAM4-7 period reference
0x004090a4,tpu_output_ch_param7_ref,word,ROM; shared PARAM7 ref for TPUA CH2/4/7
0x004090b2,tpu_ch14_period_base,word,ROM; TPUA CH14 PARAM0 base period (HPCR sync)
0x004090ef,injection_timing_tooth_phase_threshold,byte,ROM; sub-tooth phase boundary for tooth step
0x004090f0,injection_timing_tooth_base_offset_mode2,byte,ROM; base tooth offset for mode-2 cam-sync timing
0x0040b854,injection_timing_cam_angle_correction,word,cam-position-corrected injection angle term
0x0040b98c,injection_timing_speed_component,word,speed-proportional injection timing component (pressure path)
0x0040b994,injection_timing_floor_underrun_count,word,count of frames timing demand below arb floor
0x00409a6c,cam_timing_override_mode,byte,ROM; cam timing override 0=normal 1=force 2=additive
0x00409a74,cam_timing_advance_slew_step,word,ROM; per-frame step for cam advance slew
0x00409a76,cam_timing_transition_step,word,ROM; step for cold-start cam timing transition
0x00409a84,cam_timing_demand_rate_limit,word,ROM; max cam timing demand change per frame
0x0040b8bc,cam_timing_demand_working,word,rate-limited cam timing demand (pre-transition)
0x00409aa1,cam_sync_reference_check_a_enable,byte,ROM; enable for cam-sync reference check path A
0x00409aa2,cam_sync_reference_check_b_enable,byte,ROM; enable for cam-sync reference check path B
0x00409aa4,cam_timing_reference_b_min,word,ROM; lower bound on cam_timing_reference_b
0x00409aa6,cam_timing_coolant_temp_min,word,ROM; coolant temp lower bound for cam timing
0x00409aa8,cam_timing_coolant_temp_max,word,ROM; coolant temp upper bound for cam timing
0x00409ad2,cam_timing_governor_speed_window_halfwidth,word,ROM; RPM half-window around governor speed limit
0x0040b8da,cam_timing_correction_base,word,seed/base setpoint for cam correction PI
0x0040b8e6,cam_timing_position_correction_effective,word,applied cam position correction term
0x0040b8f4,cam_timing_position_correction_gain,word,table-interpolated cam correction gain
0x0040b8fe,cam_timing_fault_activation_threshold,word,threshold to ramp cam timing fault counter
0x0040b905,cam_sync_reference_b_threshold_prev_flag,byte,previous-cycle latch of cam ref B threshold flag
0x0040b906,cam_timing_speed_window_in_range_flag,byte,speed within cam-timing window 0/1
0x0040b907,cam_timing_speed_window_enable_flag,byte,cam-timing speed-window enable gate
0x0040b909,cam_sync_reference_check_enable_flag,byte,cam-sync reference check A enable gate
0x00409e4e,timing_limit_slew_decrease_step_q16,dword,ROM; Q16 decrement step for timing-limit slew
0x00409e52,timing_limit_slew_increase_step_q16,dword,ROM; Q16 increment step for timing-limit slew
0x00409e56,torque_limit_rpm_slew_step,word,ROM; per-update step for torque_limit_rpm_slewed
0x00409e58,torque_limit_fuel_demand_slew_step,word,ROM; per-update step for torque_limit_fuel_demand_slewed
0x00409e64,torque_limit_timing_arb_mode,word,ROM; timing arb mode 0=sum 1=max 2=min
0x00409e6a,torque_limit_boost_load_corr_mode,word,ROM; boost-load correction apply mode 0/1/2
