address,name,type,comment
0x003feb92,fault_status_array,byte,per-fault record flags byte (170x3B records; array base)
0x003fed98,fault_pending_flags_b,dword,32-bit fault-pending bitmap init 0xffffffff lockstep with fault_pending_flags
0x003feb93,fault_status_word_array,word,per-fault record packed word at record+1 (age/epoch/flags; array base)
0x003fe9d4,diagnostic_status_flags_working,word,fault status bits incl 0x400 sensor mismatch
0x003fea38,diagnostic_status_flags_snapshot,word,snapshot of diagnostic_status_flags_working
0x003fed90,fault_aging_generation_counter,byte,wraps 0..0x50 generation stamp for fault aging
0x003fed91,fault_ring_epoch_counts,word,coolant-overtemp epoch byte + fault-queue count byte
0x003fed9c,fault_entry_ptr_queue,pointer,8-element ptr queue base into fault_entry_t_003fe674
0x003fedbc,protection_event_spn_history,word,8-element recent protection SPN history (array base)
0x003fedce,protection_event_count_history,word,8-element occurrence counts parallel to SPN history (array base)
0x003fb9ca,fuel_correction_table_dims_a,word,in_window dual_axis_table_dims_t instance (row_count)
0x003fd1b4,cold_start_protection_timer_countdown,word,countdown gating cold-start protection state transitions
0x003fea08,engine_diag_shadow_flags_b,word,cleared lockstep with engine_diag_shadow_flags
0x003fd108,timing_limit_arbitrated_target,word,arbitrated timing-limit target feeding the slew accumulator
0x003fd104,timing_limit_slew_q16,word,slew-rate-limited Q16 timing-limit accumulator
0x003fd1b0,cold_start_protection_sub_state,word,inner sub-step of protection_state_machine_step
0x003fd1b1,cold_start_protection_cycle_counter,word,2-call debounce before advancing cold-start inner state
0x003fd1b2,cold_start_protection_state,word,cold-start battery voltage fault state machine (cases 0-8)
0x003fd1c4,protection_state_machine_step,word,outer protection FSM dispatcher (cases 0-7)
0x003fd134,timing_limit_boost_blend_interp_state,word,dualAxisTableInterpolation state for boost-map timing blend
0x003fd1c0,cold_start_battery_timer_a,word,battery voltage delta-sample timer A
0x003fd1c2,cold_start_battery_timer_b,word,battery voltage delta-sample timer B
0x003fd938,protection_timer_dispatch_config,word,NEVER-WRITTEN ROM cal; bits gate timerBitCheck sub-paths
0x003fd1b3,cold_start_protection_branch_flag,word,0/1 selects set-fault vs clear-fault path
0x003fcbee,j1939_protection_receive_delay_counter,word,debounce for j1939 protection-receive; caps then sets status 0x8000
0x003fcbf0,governor_load_cycle_delay_counter,word,debounce for governor load cycle; caps then sets protection_monitor_shadow 8
0x003fd948,sensor_channel_type_table,word,NEVER-WRITTEN ROM table; channel->override/QADC type (array base)
0x003fd942,cam_sync_protection_state_flags,word,cam-sync + cold-start protection state bits
0x003fcea1,j1939_dm1_tx_control_flags,word,DM1 transmit-trigger + content-mode bits
0x003fd93c,engine_sync_type_code,word,NEVER-WRITTEN config; ==0x13ec selects ISB sync paths
0x003fd93f,cold_start_protection_state_flags,word,cold-start voltage/sync state bits
0x003fd941,battery_voltage_test_state_flags,word,bit0 battery-voltage test result
0x003fee9b,diag_suppress_request_flag,byte,set=1 by protection FSMs to request diag suppression
0x003fd940,battery_voltage_protection_state_flags,word,bit5 battery voltage protection active
0x003fea68,injection_fault_shadow_snapshot,word,snapshot of injection_fault_shadow_flags for change detect
0x003fee50,sensor_validation_accum_table,word,4-element sensor validation accumulators (array base)
0x003fce9e,j1939_dm1_crank_counter_prev,word,previous-cycle cold_start_crank_counter for DM1 crank detect
0x003fcea2,j1939_dm1_cycle_tick,word,running tick for DM1 message scheduling (mod-10)
0x003fda48,sensor_channel_enable_flags,word,NEVER-WRITTEN ROM; per-group channel enable bits (array base)
0x003fd947,cbd_warmup_cycle_threshold,word,NEVER-WRITTEN ROM; CBD warmup cycle threshold (x100)
0x003fe9e8,governor_cal_status_shadow_flags,word,shadow of governor/sensor-cal status bits
